datetime,month,weekday,day,hour,Consumption,Temperature,Kosuiryo(mm),Nisha(MJ/m2),Sitsudo(%),Close(JPY/kWh),ShortVolume(kWh),LongVolume(kWh),EreaPriceTokyo(JPY/kWh)
2017-03-29 14:00:00,3,2,29,14,3511,12.8,0.0,2.86,42.0,10.865,6106500.0,4838500.0,7.87
2017-03-29 15:00:00,3,2,29,15,3467,12.2,0.0,2.14,43.0,14.399999999999999,4938500.0,4699000.0,8.19
2017-03-29 16:00:00,3,2,29,16,3506,12.9,0.0,1.43,41.0,13.27,5400750.0,4979000.0,10.325
2017-03-29 17:00:00,3,2,29,17,3620,11.6,0.0,0.68,52.0,13.93,4336750.0,4715000.0,11.39
2017-03-29 18:00:00,3,2,29,18,3828,10.9,0.0,0.11,58.0,13.75,3368250.0,4682250.0,12.11
2017-03-29 19:00:00,3,2,29,19,3789,10.5,0.0,0.0,60.0,13.99,3366500.0,4408250.0,12.11
2017-03-29 20:00:00,3,2,29,20,3688,10.1,0.0,0.0,65.0,12.27,3760500.0,3962000.0,11.825
2017-03-29 21:00:00,3,2,29,21,3548,9.9,0.0,0.0,67.0,11.97,2755500.0,3600250.0,10.825
2017-03-29 22:00:00,3,2,29,22,3392,8.3,0.0,0.0,77.0,9.91,2993500.0,3720750.0,10.105
2017-03-29 23:00:00,3,2,29,23,3160,7.8,0.0,0.0,80.0,9.55,3016500.0,3483500.0,9.425
2017-03-30 00:00:00,3,3,30,0,2903,7.8,0.0,0.0,79.0,9.3,5025750.0,3164500.0,7.895
2017-03-30 01:00:00,3,3,30,1,2778,8.2,0.0,0.0,80.0,9.6,5507000.0,3020000.0,7.865
2017-03-30 02:00:00,3,3,30,2,2729,8.2,0.0,0.0,79.0,9.6,5469000.0,3028500.0,7.82
2017-03-30 03:00:00,3,3,30,3,2708,7.9,0.0,0.0,72.0,9.6,5479000.0,3078250.0,7.79
2017-03-30 04:00:00,3,3,30,4,2736,6.8,0.0,0.0,76.0,9.905000000000001,5323750.0,3087750.0,7.855
2017-03-30 05:00:00,3,3,30,5,2867,6.3,0.0,0.0,74.0,9.75,4557000.0,3313250.0,8.395
2017-03-30 06:00:00,3,3,30,6,3116,7.1,0.0,0.02,70.0,10.524999999999999,3432750.0,3631500.0,9.625
2017-03-30 07:00:00,3,3,30,7,3277,7.8,0.0,0.23,69.0,11.475000000000001,4305500.0,3947750.0,11.23
2017-03-30 08:00:00,3,3,30,8,3505,9.6,0.0,1.16,62.0,13.265,5020250.0,4398000.0,11.83
2017-03-30 09:00:00,3,3,30,9,3610,11.1,0.0,1.93,54.0,13.555,5260250.0,5076250.0,11.83
2017-03-30 10:00:00,3,3,30,10,3559,13.2,0.0,2.55,49.0,13.105,5889500.0,5214750.0,11.54
2017-03-30 11:00:00,3,3,30,11,3510,14.1,0.0,2.92,46.0,11.52,6401750.0,4984500.0,11.54
2017-03-30 12:00:00,3,3,30,12,3311,16.5,0.0,3.07,43.0,6.51,7448000.0,4312500.0,7.77
2017-03-30 13:00:00,3,3,30,13,3404,16.6,0.0,3.07,43.0,10.875,6798250.0,4818750.0,8.4
2017-03-30 14:00:00,3,3,30,14,3351,16.3,0.0,2.35,44.0,5.57,5880500.0,4911000.0,8.53
2017-03-30 15:00:00,3,3,30,15,3297,16.2,0.0,2.09,52.0,9.655000000000001,4768000.0,4767750.0,11.63
2017-03-30 16:00:00,3,3,30,16,3324,16.0,0.0,1.48,56.0,10.205,4758500.0,4939500.0,11.83
2017-03-30 17:00:00,3,3,30,17,3404,15.4,0.0,0.74,61.0,11.025,3963000.0,4543000.0,11.83
2017-03-30 18:00:00,3,3,30,18,3586,13.9,0.0,0.16,67.0,12.825,3487500.0,4461500.0,15.0
2017-03-30 19:00:00,3,3,30,19,3528,12.2,0.0,0.0,76.0,13.085,3741500.0,4133250.0,12.35
2017-03-30 20:00:00,3,3,30,20,3415,11.7,0.0,0.0,77.0,12.085,3880750.0,3728000.0,11.255
2017-03-30 21:00:00,3,3,30,21,3285,12.4,0.0,0.0,73.0,11.46,3485000.0,3427000.0,11.07
2017-03-30 22:00:00,3,3,30,22,3173,13.0,0.0,0.0,53.0,8.5,4105250.0,3751000.0,9.98
2017-03-30 23:00:00,3,3,30,23,2968,12.8,0.0,0.0,44.0,5.57,4248000.0,3499250.0,8.379999999999999
2017-03-31 00:00:00,3,4,31,0,2745,12.2,0.0,0.0,46.0,9.56,5124500.0,3127250.0,7.77
